State,POPULATION DENSITY,POPULATION,Abbreviation,Lockdown Date,RE-open date,Peak Daily Deaths Date,Length (in days) of lockdown,Time (in days) between Stay at home order and Peak Deaths,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,Population Mortality,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
Alaska,1.2,"710,231",AK,"Saturday, March 28, 2020","Friday, April 24, 2020","Friday, April 10, 2020",27,13,661,72806,,11,,,,1,,411,A,6/14/2020 0:00,6/13/2020 19:00,06/13 20:00,12,0.0016895911,,6/13/2020 19:00,73467,,,,2,7,1657,73467,73467,1664,73467,0,0,e4689615ee7b910984dc813a587128ae5b1b7335,0,0,0,0,0,
Alabama,94.4,"4,779,736",AL,"Saturday, April 4, 2020","Thursday, April 30, 2020","Tuesday, May 12, 2020",37,38,25615,271840,,540,2255,,675,,395,13508,B,6/14/2020 11:00,6/14/2020 6:00,06/14 07:00,773,0.0161724413,2255,6/14/2020 6:00,,,,25235,1,1014,3189,297455,297455,4203,297455,0,14,ad408ffeffbe5d1a8ac9b56586ecffe78dc2804c,0,0,0,0,0,
Arkansas,56,"2,915,918",AR,N/A,,"Wednesday, May 6, 2020",0,,12501,184488,,204,998,,,46,162,8110,A,6/14/2020 0:00,6/13/2020 19:00,06/13 20:00,179,0.0061387186,998,6/13/2020 19:00,,,,12501,5,954,9018,196989,196989,9972,196989,3,19,7a1373dc0a9d41f463a820a16399802fdd3311c0,0,0,0,0,0,
Arizona,56.3,"6,392,017",AZ,"Tuesday, March 31, 2020","Friday, May 15, 2020","Saturday, May 9, 2020",45,39,35691,302354,,1457,3726,452,,317,,6333,A+,6/14/2020 0:00,6/13/2020 19:00,06/13 20:00,1186,0.0185543937,3726,6/13/2020 19:00,337728,,,35374,4,1233,8415,338045,338045,9648,338045,3,34,49ad7a0f959d01b5c2337b5247d51d80a96e4dd0,0,0,0,0,0,
California,239.1,"37,253,956",CA,"Thursday, March 19, 2020","Friday, May 8, 2020","Friday, April 24, 2020",50,36,148855,2653141,,4247,,1280,,,,,B,6/14/2020 0:00,6/13/2020 19:00,06/13 20:00,5063,0.0135905030,,6/13/2020 19:00,2801996,,,148855,6,3212,74391,2801996,2801996,77603,2801996,74,0,5bdf68836b6e269941b2d98ae4c4080e7658dc24,0,0,0,0,0,
Colorado,48.5,"5,029,196",CO,"Thursday, April 9, 2020","Sunday, April 26, 2020","Friday, April 24, 2020",17,15,29017,215626,,262,5244,,,,,4178,A,6/13/2020 0:00,6/12/2020 19:00,06/12 20:00,1598,0.0317744626,5244,6/12/2020 19:00,,,,26408,8,195,7987,244643,244643,8182,244643,3,10,6d886d6f97502d221ade39a4f9275b83c511c116,0,0,0,0,0,
Connecticut,738.1,"3,574,097",CT,"Monday, March 23, 2020","Wednesday, May 20, 2020","Sunday, April 26, 2020",58,34,45088,304018,,205,9912,,,,,7611,B,6/14/2020 16:00,6/14/2020 11:00,06/14 12:00,4201,0.1175401787,9912,6/14/2020 11:00,347190,,,43172,9,94,4758,349106,349106,4852,349106,15,0,7bd5571320d1345f72e9e4d9a09f3a8e1d6f0e33,0,0,0,0,0,
District of Columbia,"9,856.50","601,723",DC,"Wednesday, April 1, 2020","Monday, June 8, 2020","Thursday, April 30, 2020",68,29,9767,54763,,186,,71,,50,,1150,A+,6/13/2020 0:00,6/12/2020 19:00,06/12 20:00,515,0.0855875544,,6/12/2020 19:00,,,,9767,11,58,1436,64530,64530,1494,64530,4,0,558224b0b77dbd936047d07b289c7421dc9ade56,0,0,0,0,0,
Delaware,460.8,"897,934",DE,"Tuesday, March 24, 2020","Monday, June 1, 2020","Monday, May 18, 2020",69,55,10264,71523,,93,,,,,,6172,A,6/13/2020 18:00,6/13/2020 13:00,06/13 14:00,422,0.0469967726,,6/13/2020 13:00,,,,9313,10,35,1653,81787,81787,1688,81787,3,0,8db9200f140c89893540a0a56c88171a840025fe,0,0,0,0,0,
Florida,350.6,"18,801,310",FL,"Friday, April 3, 2020","Friday, May 1, 2020","Friday, May 8, 2020",28,35,75568,1333447,1184,,12224,,,,,,A,6/14/2020 10:00,6/14/2020 5:00,06/14 06:00,3022,0.0160733481,12224,6/14/2020 5:00,1658074,101662,1553385,75568,12,2016,36586,1410199,1409015,38602,1409015,6,69,8c6641b21d8d2d33c54bfc7f60f8aa5a17f00a00,0,0,0,0,0,
